id	tweet	subtask_a	subtask_b	subtask_c
39342	@USER LMFAOOO baby you just as young as she is😭😭😭	NOT	NULL	NULL
81788	@USER It’s fine. The liberals made sure that we use as much carbon as possible to make electricity.	NOT	NULL	NULL
38889	@USER She is she blocked me URL	NOT	NULL	NULL
92319	@USER He is not working for Texas he is paid by the Soros cartel. Not fond of Cruz but Beto is a dangerous person! Just another DNC sheeple!	OFF	TIN	IND
59657	@USER I want to kiss your ass.	OFF	TIN	IND
28193	@USER A person’s stance on gun control is a telling statement on if they believe in the rights of the individual.  Might as well stamp “Statist” on their forehead.  Please vote accordingly.	NOT	NULL	NULL
83274	@USER Beto also wants open borders so illegals can come an go as they please an also more gun control espically on semiautomatic weapons...#BetoNotForTexas	OFF	TIN	GRP
64355	@USER Doesn't Canada need it's comedians back.	NOT	NULL	NULL
42234	@USER @USER @USER @USER @USER There is absolutely no point in debating a liberal. Your party has swung so far left and have nothing but hate... All rationale has fleeted your side. Trump could create world peace and a utopian society and liberals would still resist for no other reason than your hatred.	OFF	TIN	GRP
84391	@USER @USER You do know antifa is far left republicans are peaceful we just only use violence to protect ourselves from antifa.	NOT	NULL	NULL
36226	@USER @USER F Hope! Since he’s ‘NOT smarter than a 5th grader’ maybe she is!	OFF	TIN	IND
91015	@USER @USER @USER It is metallic color. Tomorrow I go to get it😇 It was my birthday gift😂	NOT	NULL	NULL
49622	100% agree with Trump on this.  Surprised to see so many liberals talk about how cute he was sneaking candy at a war criminal's funeral. URL	OFF	TIN	IND
82485	@USER Good thing California has all those gun control laws ?!?! 😂😂😂👌	NOT	NULL	NULL
54050	"#joebiden calls Trump supporters dregs of society. #biden organized a coup in #ukraine. His son steals $B from ukrainian people as they leave their country in search of jobs. @USER #maga #potus @USER @USER #zog"""	OFF	TIN	IND
97098	@USER He needs to lose some weight	NOT	NULL	NULL
34017	@USER Destroying me???? Excuse me I beat you all the time why you bullshitting that?? Also I love you more 😤	OFF	TIN	IND
31233	@USER you are the only motherfucker with common sense on this website	NOT	NULL	NULL
83754	@USER For what??? Lies and rumors being spread by liberals with their known pattern? Hell NO.	OFF	TIN	GRP
31196	@USER Shes so old that shes been pushing gun control since the Lincoln assassination.	OFF	TIN	IND
59480	@USER Blue Jamie Lee!! We won't miss ya....	NOT	NULL	NULL
23082	@USER Corrupt period...😆😆😆👊🏽👊🏽last week u liberals were saying he won’t release bc he has something to hide 😆😆😆😆😆 o boy u pple those pple  that depend on an actor for info Wow! U pple scare me is it green today or is it yellow 😂⁉️	NOT	NULL	NULL
85220	@USER Grew up listening to K.I.D.S shit breaks my heart RIP	OFF	TIN	OTH
15817	@USER Delusional idiot and the traitor!	OFF	TIN	IND
89408	@USER happy birthday dad ily thanks for being the best man you can be and for caring for all of us. we love you and appreciate all that you are and all that you do 🐨🐻	NOT	NULL	NULL
39819	@USER Reminder: It's in Trump's best interests to have that SCOTUS seat empty during the mid terms and even the next election. It's his only trump card _against challenges from his own party/conservatives_ these days.	NOT	NULL	NULL
60311	@USER @USER Oh she is doing that all by herself	NOT	NULL	NULL
59397	@USER @USER @USER You mean like the Democrats do to push their gun control agenda?	NOT	NULL	NULL
48118	@USER @USER @USER Not if it's unwanted by the mother. Then the left flushes it down the toilet and goes to an ANTIFA rally to celebrate.	OFF	TIN	GRP
15406	@USER jimin-ssi i hope you know you are an angel. i love you so much. you are always amazing	NOT	NULL	NULL
84077	@USER Ur head bout big as shit	OFF	TIN	IND
79283	"@USER @USER That solidarity with Israel"" banner photo of ""Antideutsch"" infiltrators was originally used in an online mag Bunker which has connections to fashy pro-Žižek types from the 8chan /leftypol/ board. It's a go-to image for the ""anti-antifa"" crowd. Archived: URL"	NOT	NULL	NULL
82016	"@USER They've morphed into Antifa. Antifa gets better coverage and that all important Soros cash! ie: I'm so upset about you know racist stuff and Trump and children in cages and everything the like that, ya know?"""""	NOT	NULL	NULL
84770	@USER @USER @USER Complete and utter waste of time. Liberals	OFF	TIN	GRP
95295	...and what plan might that be?  The discredited Chequers Plan or crash out without a plan? URL	NOT	NULL	NULL
48370	@USER Blame Trump for the weather and the corruption that existed for decades in PR. What an ass typical democratic	OFF	TIN	IND
78792	"@USER @USER @USER @USER and no one is attacking Trump supporters at large""  Ever heard of Antifa?  I thought you were leaving long ago anyway?  Why are you still wasting my time?"""	NOT	NULL	NULL
14672	@USER @USER Cats are the Antifa of the animal world	NOT	NULL	NULL
66991	@USER @USER @USER Do yourself a favor and watch this @USER There is still time for you to spit that kool aid out and pay attention to what is happening. You right leaning conservatives are so brainwashed it is sickening.	NOT	NULL	NULL
93179	@USER He's quite beautiful for what he is	NOT	NULL	NULL
48479	@USER @USER That nigga snitched and added spice on top of his snitching	OFF	TIN	IND
44822	"@USER @USER ATTENTION. @USER is publicizing the names of Trump supporters on his Twitter Account on Lists"". Some names are high profile and some are just random Trump supporters.  The list is a ANTIFA TARGET LIST. Please help report him. Twitter needs to SUSPEND HIS ACCOUNT.,"""	NOT	NULL	NULL
14772	"@USER @USER Unfortunately, the report is riddled with errors.  It fabricates connections between influencers that simply don't exist, and categorizes liberals as far-right"" if they even openly debate conservatives: URL"	NOT	NULL	NULL
22130	@USER @USER Far right bastards. They are literally everywhere. Luckily we have far left extremists like Antifa and Jeremy Corbyn's supporters to act as a counter balance. URL	OFF	TIN	GRP
80604	@USER @USER Liberals believe in the Constitution.   It's just ultra leftists that don't	NOT	NULL	NULL
78914	@USER @USER Well if she truly thought he was an intruder in her home I would suppose she would revert to her police training.  What sickens me is all the media hype that she is going to get off strictly because she is white and he is black.  Horrible all the way around.	NOT	NULL	NULL
40746	@USER @USER @USER @USER Ben is a terrible person that probably raped some people.  He is a vial human being in my book.    Has nothing to do with his on the field play.  I don’t like him personally.	OFF	TIN	IND
33232	@USER An idiot.  Where the fuck do they get these people?	OFF	TIN	IND
58585	@USER honestly ya when i talk about my opinions on gun control ppl are taken aback. 😂	NOT	NULL	NULL
19746	@USER Indie: (noun) a place where people as talented as you are working just as hard as you to get to the spot you're at.   Opportunity doesn't knock for everybody.	NOT	NULL	NULL
87017	@USER Breitbart is dead	NOT	NULL	NULL
60348	@USER Won't be legalized federally since it can be used as back door gun control.	NOT	NULL	NULL
33670	@USER Start by not tweeting pussy ass shit	OFF	TIN	IND
69506	ASMR EEL SUSHI SALMON SUSHI (EATING SOUNDS) *BIG BITES No Talking | YAYA ASMR URL	NOT	NULL	NULL
25199	@USER @USER Ya and it looks like he is in a lit of the same MMA accounts as we have. Weird.	NOT	NULL	NULL
46033	@USER I AM SO WEAK SHE REALLY BEAT HER ASS	OFF	TIN	IND
61968	@USER @USER @USER @USER @USER Thanks DBC! Love reading your books! I’ve heard that #51 is pretty epic too - looking forward to *finally* getting to read it soon!!!	NOT	NULL	NULL
76470	@USER He is why I stopped watching football	NOT	NULL	NULL
25820	🛑 Ntknetwork News 🛑 👉 'RNC Has Raised Over $250 Million for the 2018 Midterms' #MAGA￼🇺🇸#2A #Prolife URL	NOT	NULL	NULL
12633	@USER @USER @USER @USER @USER @USER @USER @USER @USER You can't help it because you are AMAZING!	NOT	NULL	NULL
77845	@USER ...her background is being kept under wraps...chance she is a rabid MAGA...as most cops are! Law enforcement entities are attempting to keep quite those who are in trouble and who are MAGA's...	OFF	UNT	NULL
40324	@USER Bird ass URL	OFF	TIN	IND
58462	I did not know this.  Great job #california !  #MAGA URL	NOT	NULL	NULL
54691	@USER @USER I would name my dogs breed but I have no fucking clue what he is	OFF	TIN	IND
23182	"@USER Liberals don't care anymore about democracy"". They will burn the country before let trump to govern two more years. Remember that the objective was to throw trump out of power within the first six months."""	NOT	NULL	NULL
32987	What a start to the week for our adults Krav Maga classes!! Keep up the awesome work guys. It is a pleasure see old faces coming back to training and many of you utilising the new timetable 👊🏻👊🏻  See you in class  The Elite Team	NOT	NULL	NULL
30224	@USER you are no patriot if you actively try and disrupt the will of the People simply because you lost the election.   When has it ever been patriotic to undermine the Presidency?    He is working to bring prosperity to every American.	NOT	NULL	NULL
81939	@USER I thought liberals got rid of high school shop class	NOT	NULL	NULL
27255	@USER Can you say DESPERATE?!?!?!	NOT	NULL	NULL
62953	@USER @USER Many arrests have taken place. Socialist media not covering of course. The coming arrests will  make socialists heads explode. WWG1WGA! MAGA! DRAIN THE SWAMP! BUILD THE WALL!	OFF	TIN	GRP
59895	@USER At least brennan is smart enough to recognize that Trump is a lion. He's not smart enough to know that he can't hurt Trump. Hurting Trump is what that idiot fantasies about.	OFF	TIN	IND
13692	@USER Holy shit of all people to say that a Nebraska fan. Please take your dead program somewhere else and keep your VCR around to watch highlights from the 90s.	OFF	TIN	OTH
83076	@USER @USER that explains it then: she is an alien! LOL	NOT	NULL	NULL
32565	@USER @USER @USER @USER @USER He needs to speak to someone about all that anger he is harboring!!  Cause that should not have made him explode like that. He has some underlying issues. Lordt 😂😂😂	NOT	NULL	NULL
24384	@USER @USER I mean gun control so you can't defend yourself	NOT	NULL	NULL
23560	@USER poor Godless liberals	OFF	TIN	IND
47280	@USER @USER @USER @USER @USER @USER @USER @USER @USER I think it was found that less well educated conservatives were more inclined to accept the Government directive at face value	NOT	NULL	NULL
71667	@USER He is such a good dude! Where do you work?	NOT	NULL	NULL
55726	@USER  people are awake. Projection is no longer a tactic that Liberals can successfully use.	NOT	NULL	NULL
30033	(But look how cranky she is! URL )	NOT	NULL	NULL
33064	@USER @USER @USER We've had a good conversation. Many will condemnations me for my part from both sides. It does not matter. This is what gun control is about. Discussion.	NOT	NULL	NULL
34120	@USER CORRECTION: The Liberals won a false-majority on the backs of a lot of close races – emphasis on “false.” #ElectoralReform	NOT	NULL	NULL
25813	@USER Thanks for Following. We're glad to be connected.	NOT	NULL	NULL
30770	@USER GGG knows he is going to knock him out no way this goes to judges.	NOT	NULL	NULL
49215	@USER Its called espionage. He is doing it in plan site to help his bosses in Moscow.	NOT	NULL	NULL
41561	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Following all patriots. PLEASE follow back. Thank you. #MAGA #KAG #WalkAway #Witchhunt #RedWaveRising #VoteRed #VoteDemsOut #VoteRedToSaveAmerica	NOT	NULL	NULL
19402	@USER He is so confused. One of the liberals running loose Beaware URL	NOT	NULL	NULL
69899	@USER Tyler! On Thursday! Go girls! I think Tyler believes he is the mastermind and he needs to take a seat. Angela or Kaycee for the win!	NOT	NULL	NULL
70810	@USER Bono ..get out of town	NOT	NULL	NULL
79423	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Says the person who refused the idea of having differant views on things? You really are a product of the US system. US antifa-lite. Is your world really that small?	NOT	NULL	NULL
65970	@USER She is going to pull it out of her A-crooked-letter-crooked-letter.	NOT	NULL	NULL
45485	@USER i had a man tell me their body count was 40+ but refused to be with a woman who had more than 5. what the FUCK.	OFF	TIN	IND
95617	@USER @USER My dumbass was really thinking how in the hell is she been pregnant for the last 6 years😭😭	OFF	TIN	GRP
39118	@USER @USER @USER Have you all seen this from Antifa about disarming people in open carry states? URL	NOT	NULL	NULL
93402	@USER So you realize what a fool you are making of yourself with your weird obsession over #SusanSarandon Maybe do some research b4 spouting off nonsense.	OFF	TIN	IND
44744	"@USER @USER @USER @USER And while yes, hate groups"" is ill defined, we KNOW of hate groups on the right, and there is antifa, but they are not anywhere near the level of the modern conservative ""hate groups"" but then again, its subjective, so I guess neither of us can actually make a valid statement"""	NOT	NULL	NULL
33776	@USER @USER Would any of the three offer a #PeoplesVote on Brexit?	NOT	NULL	NULL
37449	@USER Exactly! Ford is just a damn pawn for the Baby-Adults of America / aka Democrats. #SheIsALiar 🤥- I ❤️ that Conservatives will control the highest court for 20+ years.	NOT	NULL	NULL
97658	"@USER @USER @USER Liberals today R VERY different from Classical Liberals. Liberals today have gone so far left they R Marxists. You're burying your head in the sand if you think neo &amp; classical Libs are the same. Trump is so authoritarian"" people can say what they want about him &amp; not be killed."""	OFF	TIN	IND
43705	@USER ANTIFA WANNABE ☝☝☝☝	NOT	NULL	NULL
48474	@USER and @USER @USER  @USER is inciting VIOLENCE towards Trump supporters on lists to be targeted by ANTIFA.	OFF	TIN	GRP
35384	"@USER @USER Ain't nobody bitter here. Women who know their worth spending their life upgrading"" somebody son but actually LIVING it and becoming their best versions for THEMSELVES. You go look cute on your maid outfit, like you always do"""	OFF	TIN	GRP
11746	@USER Poorly worded but he's not talking about the actual shooting. He means the aftermath with the gun control aspect.	OFF	TIN	GRP
90460	@USER @USER She is in witness protection. I wish this cow had a mobile phone so she could call other cows and share her escape. #GoVegan	OFF	TIN	IND
77539	@USER Liberals are dangerous. They'll say and do anything to push their agenda. The victims are judge Kavanaugh's wife and daughters.	NOT	NULL	NULL
46544	@USER need more ladies to spread out their pussy's  on cam 😍	OFF	TIN	IND
56754	@USER Bullshit there's rich liberals too so what are you saying ???	NOT	NULL	NULL
57446	@USER Wow you really think this works I am going to tell my wife she is going to hell lol	OFF	TIN	IND
30412	@USER How he is still batting	OFF	TIN	OTH
51967	@USER Love ya girl!! Never change!! Your perfect as you are!🙋🌹💋	NOT	NULL	NULL
84656	@USER Liberals at there lowest	NOT	NULL	NULL
91455	@USER Brennan probably wrote that NYT op-ed	NOT	NULL	NULL
94913	@USER ANTIFA DEMOCRATS are gonna pay so YUGE in November it will be the final nail in the coffin.  You are FruitCake Trust Funded FakeNews Journalism.	OFF	TIN	IND
31525	@USER @USER @USER @USER So let me get this right.  Mogg is attacked and you are accusing him of profiting from it?	NOT	NULL	NULL
38725	@USER Boi he is bts and so is all of the other members	NOT	NULL	NULL
55300	@USER @USER Paul Manafort is a legit trader but because he works(ed) for Trump. I guess it's not a big deal  to conspire against your country anymore. #MAGA	NOT	NULL	NULL
84653	@USER Exactly what I think.	NOT	NULL	NULL
40726	@USER Sex is work	NOT	NULL	NULL
88710	@USER GOOD BITCH!!! The hood missed you 😂 crazy thing is i just was saying how em smoke out by your house used to be lit everyday	OFF	TIN	IND
43651	@USER Chelsea she is so freaking beautiful I can't believe her skin color so beautiful! I live Aubree she is such a great little lady!	NOT	NULL	NULL
21689	@USER You are such a great friend.	NOT	NULL	NULL
55014	@USER @USER @USER 50 Year Mandatory Federal Sentence for ANY crime committed with a gun. Stop the gun control nonsense and punish the guilty ! NO politician today will support this !! Gun control and safe zones DON'T work. Pols don't want less crime only Hot Air !! @USER @USER URL	NOT	NULL	NULL
41215	@USER Nonsense people want stricter gun control laws.. Your response is buy more guns. How is that rational debate?	NOT	NULL	NULL
15417	@USER It's just getting so predictable.	NOT	NULL	NULL
49291	@USER I hope you are right for everyone’s sake. I want your voice to be heard more often.	NOT	NULL	NULL
28150	@USER @USER What dos this have to do with the NRA? California has lot and lots of worthless gun control laws already. Gun control does NOT work because crazy people don’t obey the law.	OFF	TIN	IND
90308	@USER BITCH I JUST POSTED ABOUT THAT KDKSKSKS I HOPE YOU GET BETTER SOON	OFF	TIN	IND
65345	@USER @USER We are busy MAGA love our president 💜👍🇺🇸	NOT	NULL	NULL
97781	@USER @USER Glad to follow Don. Great that he is Trump supporter.	NOT	NULL	NULL
40411	"@USER @USER @USER death threats"". Where are the police complaint forms, where are the field notes from the police, where are the recordings? Sounds to me like #Antifa is staging it to push the narrative of the #SocialistDemocrats URL"	NOT	NULL	NULL
84372	@USER @USER Anything he does right now will be over shadowed by Florence.  I think he is holding till after the storm.	NOT	NULL	NULL
51729	@USER Amen..............	NOT	NULL	NULL
35958	@USER LOL you escaped some shit then... even if I don't regret watching it for a minute. #LoyalWolf	OFF	UNT	NULL
56689	@USER @USER @USER I know who she is but I've never seen her watch a Benfica games this takes shit to a new level	OFF	TIN	IND
68935	@USER And has NOTHING to do with math!	NOT	NULL	NULL
75566	@USER @USER @USER Thanks for the resistance boycott any means nessasary losers they Hollywood MSM Rinos Google Facebook and Twitter China Jack Black haters ANTIFA are ruining our country enough we need a wall	NOT	NULL	NULL
87425	@USER @USER @USER It's time for the common sense conservatives to take a day off and march on Washington.	NOT	NULL	NULL
79048	@USER Even if suspended ...he is an absolute game changer. #makeithappen	NOT	NULL	NULL
37610	@USER You go girl! God bless you and all the survivors and for getting young people out there to vote for common sense gun control	NOT	NULL	NULL
99408	"@USER @USER Populism - political ideas and activities that are intended to get the support of ordinary people by giving them what they want"" - Cambridge Dictionary  Yes I too think the liberals and conservatives must unite to prevent ordinary people from getting want they want #Collusion 😂"""	NOT	NULL	NULL
40471	More than likely she forgot because her mental capacity is dropping each and everyday. This woman is not fit to serve any longer just like she said Trump was not. Remember she is part of the problems and not a solution at all. MAGA URL	OFF	TIN	IND
62416	@USER Because he is the reason for it.	NOT	NULL	NULL
51613	@USER LIBERALS; It’s Trumps Fault. 🤔	OFF	TIN	GRP
60933	@USER @USER @USER Out on the next tide would be more appropriate	NOT	NULL	NULL
11519	@USER @USER @USER Following because she is not only a tacozt bit a sociopath and a moron all lethal combos	OFF	UNT	NULL
92684	@USER If your a Democrat and you love this great country how can you standby and watch as the liberal arm of your Democratic party tries to destroy everything we love about our country. #Walkaway no actually #Runaway. #LibsHateAmerica #CommiesSuck #MAGA and #KAG for everyone 🇺🇸	OFF	TIN	IND
28679	@USER Shameful.  #NRA is spending over a million $ to get Kavanaugh installed.  Gun control isn't his pot of Tea. URL	OFF	TIN	IND
14608	@USER @USER @USER Good. We don’t want your vote. Why don’t you want to see the corruption? It shouldn’t matter what side you are on! Shame on you!	NOT	NULL	NULL
41642	@USER Good Democracy is overrated.  Read Hans Hermann Hoppe- Democracy: The God that Failed	OFF	TIN	OTH
48063	@USER I guess u all looking wrong or looking for wrong thing... my girl was walking when started dating... about 2 yrs in she is physically handicapped... I'm still w her... no sex... just love for her and her spirit...	NOT	NULL	NULL
52687	@USER See...it's not gun control we need. It's Leftist Liberal Control. Guns don't kill people. Idiotic Immoral Leftists do. #LiberalismIsaMentalDisorder #DemsAreDangerous #WalkAway	OFF	TIN	OTH
91332	@USER Oh yes 😎	NOT	NULL	NULL
60568	@USER Conservatives are 1000x funnier than Liberals.	NOT	NULL	NULL
27099	@USER What does she think she has done to Kavanaugh family? You can’t throw crap out there and not back it up. Nothing but a stall tactic. Liberals would fight anyone being appointed	NOT	NULL	NULL
78450	@USER @USER @USER @USER @USER @USER @USER 😂😂😂😂😂😂 yeah. Peaceful because the right ..Well..know they're right. No counter protests. Unlike fascist Antifa. As for 7k .. who counted? Dianne Abbott???	OFF	UNT	NULL
77312	@USER @USER #MAGA Make Alcatraz Great Again	NOT	NULL	NULL
73638	"@USER The pit bull debate is just like gun control. Pit bull kills someone and here comes pictures here's my loving pit."" gun kill's someone and its ""I have 4 guns and they never killed anyone."""""	NOT	NULL	NULL
83162	@USER That's the plan for next summer actually. We need it for shade and I was thinking that could be a fun side project.	NOT	NULL	NULL
49383	@USER sis Mandys no nose havin ass from the grim adventures of billy and Mandy can smell that shit wheeew URL	OFF	TIN	IND
26821	@USER @USER You should investigate Antifa's connections to the Nazis.	NOT	NULL	NULL
49307	"@USER @USER If the conservatives"" aren't standing up against Dumpster's unconstitutional and illegal activities, then they are just as complicit as he, and henceforth, supporting the tangerine toddler's policies and actions. FFS, be Americans before party loyalists. Or else we all lose."""	NOT	NULL	NULL
94063	"@USER ......Oh What about Kyle's since he is one of your many adoptive dads"""""	NOT	NULL	NULL
76917	@USER Liberals don't live in the real world.	NOT	NULL	NULL
89284	@USER  living up to his nickname tonight! Fucking nightmare. #UFC228	OFF	TIN	OTH
16734	@USER Happy now liberals!	NOT	NULL	NULL
41416	@USER No wonder liberals are so messed up! Watching and supporting trash tv!	NOT	NULL	NULL
38163	@USER @USER She is the gift 🎁 that keeps on giving!  We conservatives just love her !	NOT	NULL	NULL
95675	@USER @USER Yh he is	NOT	NULL	NULL
64411	Our only option to                     SAVE our Country...            ♥️🇺🇸⭐️🇺🇸⭐️🇺🇸♥️  Is to NEVER stop                      FIGHTING for her...           ♥️ Vote MAGA Red ♥️ URL	NOT	NULL	NULL
39166	@USER Dividing us is no longer working for hollyweird Demoncraps or liberals #race card no longer helping you🤐❄️🤥🤢😈	NOT	NULL	NULL
12987	. @USER tells us she is an unserious attention seeker  URL  #iphone @USER @USER @USER	OFF	TIN	IND
15145	@USER @USER @USER Mom says finish up those Antifa posters and get upstairs. Dinner's ready.	NOT	NULL	NULL
13087	@USER I think other countries are following MAGA 😀 People are sick of being overrun &amp; then have to pay for it all!	OFF	UNT	NULL
48421	@USER @USER @USER You bring up a great point. These morons really look at life like it's the movies. They do it in the gun control debate all the time. They seriously think that a shootout with a bad guy will never hurt bystanders. It's why they want to arm teachers. Idiots!	OFF	TIN	GRP
63808	@USER Yeah this series only has 3 books. I got the sword art online novels too and some other mangas	NOT	NULL	NULL
13245	@USER Good for her!	NOT	NULL	NULL
15069	@USER @USER @USER @USER @USER You just described Antifa and the Black Block as well as the Democrats and big tech.   Why do you defend fascists?	NOT	NULL	NULL
35308	"@USER Hahahahahaha......Said the idiot @USER who handed over billions to the Iranians in what was likely the worst deal in the history of US foreign policy.... You are the poster child for someone not qualified to do a job""...."""	OFF	TIN	IND
55842	@USER These people are the worst kind of criminal playing off the emotions of their base fueling hatred in this country with insane rhetoric. Playing constant mind games to cause anger is not helping their cause some liberals are catching on.	OFF	TIN	OTH
15554	@USER @USER Antifa will sign anything if they’re paid enough.	NOT	NULL	NULL
67296	"#MAGA great thing about hurricane Florence: did not have to hear the bionic woman with the amazing memory"" talk about a party 3 million years ago URL"	NOT	NULL	NULL
84775	@USER Let her come to DC and testify by being safely surrounded by the DNC’s street army #Antifa and even let them wear those cute black masks. That way Americans can see the diversity of the Democrat party and how they protect their own. Good?	OFF	TIN	GRP
30264	"@USER @USER @USER 1. AFTER she lost, she focused on her opponent.  So you're when they lose...""  Serena wasn't losing. She is never losing until that last point. 2.  You can say she screamed (it was loud there), I use the word DEFENDED her integrity."""	NOT	NULL	NULL
65148	@USER but nice	NOT	NULL	NULL
67852	@USER @USER @USER Okay violent liberal ANTIFA with your KKK hoods beating up strangers you know nothing about!	OFF	TIN	IND
43569	@USER Made my wife take the Egghead Bible Challenge. Our two kids are obviously more obnoxious than that loop because this shit isnt phasing her at all.	OFF	UNT	NULL
71717	@USER @USER Liberals and Democrats are Psychopaths! Yep! Something wrong with all of them.🧐🇳🇬	OFF	TIN	GRP
28265	.@USER Congratulations! Thank you for being a role model for so many young conservatives. The conservative movement cannot thanknyou enough.   Thank you for everything you have taught me. URL	NOT	NULL	NULL
88106	"@USER @USER @USER @USER @USER @USER @USER @USER @USER removable magazines are still a problem, but limiting high cap mags is another bit of the gun control legislation that will be needed to curb the health problem"" we have in this country."""	NOT	NULL	NULL
59633	@USER Ask the liberals who have seemingly forgotten that you're a war criminal.	OFF	TIN	IND
76974	@USER @USER @USER Hmm cats and dogs are not raised as food. But I understand what you are saying.😊	NOT	NULL	NULL
45078	@USER I can’t believe you replaced the American flag with the Antifa flag!!	OFF	TIN	OTH
44787	@USER @USER She is the bomb!!	NOT	NULL	NULL
93493	@USER I would Starfleet Antifa was here to witness.  RIP	NOT	NULL	NULL
15222	@USER The lies i keep hearing everyday sigh *INHALES* IM TIRED OF YOU PUTTING YOURSELF DOWN AND IF PPL DONT SEE HOW BEAUTIFUL MY BESTFRIEND IS THEN ITS THEIR PROBLEM You are beautiful ive seen iT so its my place to tell you you are beautiful and i accept nothing less. If not more 😤	OFF	UNT	NULL
94425	@USER I do not believe Erick Erickson exists. I do believe he is a Democrat PR firm creating a “Republican” persona to have it say idiotic things to discredit conservatives.	OFF	TIN	IND
86725	@USER @USER @USER Don't know who he is and don't really care.... Some rich dude that probably hates our President and our country...	OFF	TIN	IND
13269	@USER You are phinnaly there!	NOT	NULL	NULL
26435	@USER @USER @USER I teach my grown sons theres winners and losers...see Serena temper tantrums she is a Democrat...lol	OFF	TIN	IND
86557	"@USER Step 1: Approach the fascist from behind.""  I see two problems with this, the first being that it would require the antifa member to recognize their own projection."""	NOT	NULL	NULL
21628	@USER It all makes sense now that’s why he is wondering around omg I was thinking why is he becoming so local he needs to head back and make that album I am stressing	NOT	NULL	NULL
24282	@USER Shooting in USA is so common no one is talking about gun control any more.	OFF	TIN	OTH
34858	@USER @USER Liberals be like URL	NOT	NULL	NULL
36206	@USER @USER @USER Please stop! You're making it TOO EASY for right-wing conservatards to mock those of us on the Left! #NotHelping	OFF	TIN	IND
45643	@USER Looks Like The Jokes On Liberals Again.  #FortTrump #Poland #BoomingEconomy URL	NOT	NULL	NULL
50805	"@USER I think you are gravely mistaken You can't blame the rise of fascism  collective struggle of black people. All politics is identity politics and nobodies freedom"" has priority over an other. Capitalism has multiple axis of exploitation and if you ignore one you fail!"""	NOT	NULL	NULL
10057	@USER The team even know he is Ass	OFF	TIN	IND
70336	@USER @USER I suggest using handcuffs to remove you!	OFF	TIN	IND
11650	#obama: wall won’t keep terrorists away. Same Obama: gun control will prevent killings by criminals (and terrorists?) #WalkAway	OFF	TIN	GRP
54987	@USER republicans /conservatives are the most disgusting people	OFF	TIN	OTH
30811	@USER @USER The more Antifa BS average Americans see in the news the more repulsed they are by their antics.	OFF	TIN	GRP
15277	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Nope.  I lived in the middle of a country's civil war.  Gunfire and all.  What I did see was Antifa hitting the elderly and children passing by one of their rallies.	NOT	NULL	NULL
59149	@USER @USER @USER Isn’t it funny how they want gun control but they partner up with snoop dog 🤔	NOT	NULL	NULL
25207	@USER So we seek answers from the leadership of our country @USER @USER @USER @USER @USER that is this our new South Africa. Mr President if you are the leader of S.A you will surely make an example of them. We are tired.	NOT	NULL	NULL
71668	@USER I love you so much yoongi you are the reason  that  i could be happy all day .youre smile is  the most beautiful think that i ever see  in my  hold life 😍😘💜 URL	NOT	NULL	NULL
15421	@USER Schumer also wanted the IRS to go after conservatives and the Tea party organizations during the Obama administration. Chucky the clown wants President Trump impeached so stop voting for Democrats. Tell Chuck to confirm 400 nominees  still waiting to do their job.	NOT	NULL	NULL
48576	@USER Happy Birthday again Namjoon! thank you for always sharing your thoughts and feelings with us! you are a beautiful person with a beautiful mind and heart 💜✨ ♈️ URL	NOT	NULL	NULL
89450	@USER @USER @USER @USER What law will you pass that will get people who ignore all other laws to obey?  A murderer ignores a ton of laws but somehow he will obey gun control laws?	NOT	NULL	NULL
41920	@USER @USER @USER her opinion. she is not a Feminist.	NOT	NULL	NULL
57122	"@USER @USER @USER Monte McNaughton, who once accused the government of failing “uphold the rule of law” when he sided with campers over an Indigenous group so, surely he is equally concerned about a government trying to rig an election   you can’t pick and choose who is subject to the rule of law"""	NOT	NULL	NULL
38473	@USER hope you are having a great day honey. Can't wait to talk to you 😃 I love you 💕😘	NOT	NULL	NULL
32941	@USER @USER And now we're off to get milk and cookies	NOT	NULL	NULL
62929	"@USER @USER @USER @USER @USER Because he is talking to an idiot. Liberals have a mental disorder. In his book The Liberal Mind: The Psychological Causes of Political Madness."" Dr. Rossiter exposes that the ideology motivating Liberals is actually a mental disorder.  Read more: URL"	OFF	TIN	IND
46107	.@USER @USER @USER @USER @USER @USER @USER  We did a great job of electing @USER and a terrible job of who we sent to congress to support him   Conservatives left frustrated as Congress passes big spending bills URL	NOT	NULL	NULL
26606	@USER God + MAGA = Block.  Buhbye.	NOT	NULL	NULL
34965	@USER @USER @USER Apart from the fact that if Lib Dems had been in Coalition again Brexit would have never happened. The @USER were a moderating force on the Conservatives. More Lib Dems in 2015 would have meant no Brexit	NOT	NULL	NULL
47818	"@USER @USER Democrats would love to see mob rule."" That's why they like Antifa."""	NOT	NULL	NULL
92488	@USER 🤦🏾‍♀️ she’s dead ass serious too. Smdh	NOT	NULL	NULL
